epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,2358.28,1.21696,0.53429,0.83144,0.55958,0.42092,0.41661,0.19543,2.08099,2.35604,1.00901,0.02525,0.02525,0.02525
152,2374.06,1.22471,0.54121,0.8352,0.54477,0.44081,0.43991,0.19799,2.09425,2.29275,1.01051,0.025085,0.025085,0.025085
153,2389.86,1.20379,0.53439,0.83183,0.50683,0.41821,0.40534,0.17626,2.13051,2.40968,1.02955,0.02492,0.02492,0.02492
154,2405.58,1.21378,0.5464,0.83825,0.55925,0.39252,0.39602,0.17934,2.09672,2.43287,1.02123,0.024755,0.024755,0.024755
155,2421.13,1.2218,0.53997,0.83264,0.51267,0.37252,0.35436,0.16296,2.14259,2.56128,1.0186,0.02459,0.02459,0.02459
156,2436.66,1.18817,0.52366,0.82688,0.46629,0.41085,0.38655,0.17334,2.10205,2.44091,1.01713,0.024425,0.024425,0.024425
157,2452.26,1.18891,0.53477,0.83139,0.43028,0.40491,0.35221,0.16754,2.07607,2.52638,1.01085,0.02426,0.02426,0.02426
158,2467.7,1.1747,0.53021,0.83092,0.55447,0.37951,0.37483,0.16548,2.11382,2.64684,1.01946,0.024095,0.024095,0.024095
159,2483.03,1.19026,0.52995,0.83454,0.55044,0.41201,0.39998,0.17871,2.1001,2.53675,1.01634,0.02393,0.02393,0.02393
160,2498.48,1.19701,0.52908,0.83708,0.53505,0.43707,0.40675,0.179,2.10285,2.43724,1.02045,0.023765,0.023765,0.023765
161,2514.03,1.16796,0.51887,0.82977,0.53011,0.43074,0.39746,0.17697,2.11376,2.46112,1.01969,0.0236,0.0236,0.0236
162,2529.6,1.18439,0.52254,0.82258,0.56374,0.42486,0.40816,0.17977,2.09079,2.45107,1.00826,0.023435,0.023435,0.023435
163,2545.12,1.18026,0.52058,0.83354,0.5144,0.37872,0.36733,0.16669,2.11042,2.6621,1.01043,0.02327,0.02327,0.02327
164,2560.72,1.16295,0.52221,0.82287,0.606,0.42963,0.40968,0.17537,2.08608,2.38662,1.00551,0.023105,0.023105,0.023105
165,2576.3,1.17372,0.5248,0.82263,0.60485,0.39296,0.39172,0.17374,2.09832,2.49995,1.01766,0.02294,0.02294,0.02294
166,2591.79,1.18256,0.51537,0.8277,0.49699,0.40374,0.38993,0.1726,2.06774,2.56773,1.00967,0.022775,0.022775,0.022775
167,2607.41,1.16658,0.52029,0.82708,0.54807,0.38777,0.40478,0.17658,2.06856,2.41689,1.01332,0.02261,0.02261,0.02261
